gvkey,conm,sich,ibc,ceq,prccd,cshoc,roe,market_cap,pe,market_cap_mil
211722,SHANGHAI JIN JIANG,7011,1144.306,15408.557,1.51,156000000.0,7.4264319494680775,235560000.0,0.20585402855529902,235.56
211735,CHENGDU SIWI SCIENCE AND,3357,1.241,778.337,0.7,160000000.0,0.15944250369698473,112000000.0,90.2497985495568,112.0
211736,CSPC PHARMACEUTICAL GROUP,2834,4338.825,32264.695,4.78,11638301732.0,13.447593414411635,55631082278.96,12.82169303416478,55631.08227896
211744,GUANGDONG ELECTRIC POWER DEV,4911,1754.833,22894.681,2.02,798408000.0,7.6648065111717445,1612784160.0,0.9190527873592529,1612.78416
211745,HARBIN ELECTRIC COMPANY LTD,3600,1718.524,15482.762,2.53,675571000.0,11.09959579563388,1709194629.9999998,0.9945712890829571,1709.1946299999997
211759,COSCO SHIPPING ENERGY,4412,4384.966,35866.909,6.22,1296000000.0,12.225659032954304,8061120000.0,1.8383540488113248,8061.12
211761,SHENZHEN NANSHAN POWER CO,4911,63.927,1485.381,1.92,263854446.0,4.303744291868551,506600536.32,7.924672459524145,506.60053632
211763,SHENZHEN TEXTILE HOLDING CO,3670,143.057,2951.87,4.45,49430250.0,4.846317757895842,219964612.5,1.5376011834443615,219.9646125
211769,TIANJIN CAP ENVMNTL PROTN,4950,870.661,9668.868,3.32,340000000.0,9.004787323603962,1128800000.0,1.2964862328736444,1128.8
211771,WEIFU HIGH-TECHNOLOGY CO LTD,3714,1717.171,19840.528,12.74,172380000.0,8.654865435032779,2196121200.0,1.278918174136414,2196.1212
212383,DAMAI ENTERTAINMENT HOLDINGS,7812,386.392,16227.56,0.475,29714629103.0,2.3810850183268464,14114448823.925,36.528832957009975,14114.448823924999
212495,TINGYI (CAYMAN ISLANDS) HLDG,2090,4322.135,14229.046,10.12,5634436360.0,30.375437678675016,57020495963.2,13.192668892387672,57020.495963199995
212693,HISENSE HOME APPLIANCES GRP,3630,5126.153,15455.626,24.55,459589808.0,33.166906342065985,11282929786.4,2.2010520923585384,11282.9297864
212925,ANHUI EXPRESSWAY CO LTD,4700,1690.893,13335.168,10.72,493010000.0,12.679952738503184,5285067200.0,3.1256071200247444,5285.0672
213373,JIANGSU CHUNLAN REFRIG EQUIP,3585,134.835,2413.778,4.58,519458538.0,5.586056381324216,2379120104.04,17.64467759884303,2379.12010404
213376,NORTH CHINA PHARMACEUTICAL,2834,214.967,5389.403,5.17,1715730370.0,3.9886978205192674,8870326012.9,41.26366378513911,8870.3260129
213377,SHANGHAI DAZHONG PUBLIC UTIL,4923,328.426,8547.574,4.45,2418791675.0,3.8423299991319175,10763622953.75,32.773358241278096,10763.62295375
213378,HAIER SMART HOME CO LTD,3630,19575.613,111366.119,28.47,6254501095.0,17.57770960843127,178065646174.65,9.096299879582315,178065.64617465
213382,NYOCOR CO LTD,4911,907.62,9294.601,5.4,1997263453.0,9.76502380252794,10785222646.2,11.882971558802142,10785.2226462
213383,MEIHUA HOLDINGS GROUP CO LTD,2800,2740.427,14574.946,10.03,2852788750.0,18.802313229839754,28613471162.5,10.441245529437566,28613.4711625
213414,SHANDONG XINHUA PHARMACEUTIC,2834,486.715,4991.589,5.81,195000000.0,9.750702631967496,1132950000.0,2.3277482715757682,1132.95
213465,FOSHAN ELECTRICAL & LIGHTING,3640,523.485,6574.304,2.64,294739939.0,7.96259193368606,778113438.96,1.4864101912375713,778.11343896
213495,SHENZHEN EXPRESSWAY CORP LTD,4700,1218.213,21903.521,7.32,747500000.0,5.56172224547825,5471700000.0,4.491579058834539,5471.7
213502,DATANG INTL POWER GEN CO LTD,4991,6857.886,76560.601,1.44,6110621398.0,8.95746103142529,8799294813.119999,1.2830914385453474,8799.29481312
213508,EASTERN COMMUNICATIONS CO LT,3663,145.217,3489.036,0.402,300000000.0,4.162095203374228,120600000.0,0.8304812797399752,120.6
213510,HUADIAN ENERGY CO LTD,4911,1107.729,3716.291,0.175,432000002.0,29.80738053074961,75600000.35,0.06824773960959764,75.60000034999999
213648,SICHUAN EXPRESSWAY CO LTD,4700,1547.118,18404.172,3.53,895320000.0,8.406343952881988,3160479600.0,2.042817419227234,3160.4796
216262,HUNAN TYEN MACHINERY CO LTD,3751,4.117,768.856,0.163,230000000.0,0.5354708814134246,37490000.0,9.106145251396649,37.49
216282,CHINA FANGDA GROUP CO LTD,3440,146.168,6125.804,1.71,394158755.0,2.386103113974917,674011471.05,4.611210874131136,674.01147105
216839,ANHUI CONCH CEMENT CO LTD,3241,7663.2,187940.36,19.88,1299600000.0,4.07746372306619,25836048000.0,3.371443783275916,25836.048
220659,HUANGSHAN TOURISM DEV CO LTD,4700,340.105,4657.341,0.762,216079440.0,7.30255740346262,164652533.28,0.4841226482409844,164.65253328
